"","ibge7","municipio","X2000","X2010","long","latit"
"199",3117900,"Congonhal",17.63,12.12,-46.0222,-22.091
"200",3118007,"Congonhas",8.95,5.65,-43.5128,-20.2959
"201",3118106,"Congonhas do Norte",37.83,33.54,-43.4053,-18.4826
"202",3118205,"Conquista",15.44,12.77,-47.323,-19.5614
"203",3118304,"Conselheiro Lafaiete",6.91,4.35,-43.471,-20.3937
"204",3118403,"Conselheiro Pena",26.68,20.33,-41.282,-19.102
"205",3118502,"Consolação",22.93,15.55,-45.5516,-22.3305
"206",3118601,"Contagem",7.32,4.36,-44.0313,-19.5554
"207",3118700,"Coqueiral",15.31,10.43,-45.2626,-21.1122
"208",3118809,"Coração de Jesus",30.94,23.37,-44.2154,-16.4107
"209",3118908,"Cordisburgo",17,13.51,-44.1915,-19.073
"210",3119005,"Cordislândia",19.82,17.3,-45.4203,-21.4733
"211",3119104,"Corinto",16.93,12.24,-44.2723,-18.2251
"212",3119203,"Coroaci",26.08,19.65,-42.1709,-18.3719
"213",3119302,"Coromandel",13.99,9.81,-47.1201,-18.2824
"214",3119401,"Coronel Fabriciano",11.57,7.59,-42.3744,-19.3107
"215",3119500,"Coronel Murta",32.6,25.54,-42.1056,-16.3708
"216",3119609,"Coronel Pacheco",19.65,14.03,-43.1556,-21.3516
"217",3119708,"Coronel Xavier Chaves",11.72,7.24,-44.1323,-21.0125
"218",3119807,"Córrego Danta",16.99,10.95,-45.5416,-19.4925
"219",3119906,"Córrego do Bom Jesus",17.38,14.44,-46.0112,-22.3749
"220",3119955,"Córrego Fundo",15.08,11.47,-45.3318,-20.2657
"221",3120003,"Córrego Novo",32.22,26.42,-42.2347,-19.4955
"222",3120102,"Couto de Magalhães de Minas",22.17,15.29,-43.2816,-18.0417
"223",3120151,"Crisólita",54.06,45.54,-40.5443,-17.1414
"224",3120201,"Cristais",18.22,12.01,-45.3107,-20.5232
"225",3120300,"Cristália",42.21,28.57,-42.5144,-16.4801
"226",3120409,"Cristiano Otoni",12.01,7.46,-43.482,-20.4956
"227",3120508,"Cristina",18.16,11.68,-45.1551,-22.1243
"228",3120607,"Crucilândia",23.02,16.74,-44.2013,-20.2302
"229",3120706,"Cruzeiro da Fortaleza",9.95,13.92,-46.4025,-18.5645
"230",3120805,"Cruzília",14.95,12.91,-44.483,-21.5019
"231",3120839,"Cuparaque",33.02,26.86,-41.0557,-18.581
"232",3120870,"Curral de Dentro",43.06,32.22,-41.504,-15.5615
"233",3120904,"Curvelo",14.59,9.79,-44.2551,-18.4523
"234",3121001,"Datas",17.73,13.9,-43.3921,-18.2644
"235",3121100,"Delfim Moreira",16.22,11.29,-45.1648,-22.3033
"236",3121209,"Delfinópolis",20.45,12.44,-46.5114,-20.2038
"237",3121258,"Delta",21.55,17.31,-47.4616,-19.5836
"238",3121308,"Descoberto",17.63,10.46,-42.5803,-21.2735
"239",3121407,"Desterro de Entre Rios",21.53,17.4,-44.1957,-20.3936
"240",3121506,"Desterro do Melo",28.99,21.55,-43.3104,-21.085
"241",3121605,"Diamantina",18.02,12.15,-43.3601,-18.1458
"242",3121704,"Diogo de Vasconcelos",31.85,21.63,-43.1154,-20.2916
"243",3121803,"Dionísio",20.39,14.3,-42.4636,-19.5034
"244",3121902,"Divinésia",19.93,11.32,-43.0014,-20.5925
"245",3122009,"Divino",25.7,17.4,-42.0855,-20.3652
"246",3122108,"Divino das Laranjeiras",32.05,23.08,-41.2847,-18.464
"247",3122207,"Divinolândia de Minas",23.44,18.61,-42.3652,-18.4804
"248",3122306,"Divinópolis",7.41,4.63,-44.5302,-20.082
"249",3122355,"Divisa Alegre",40.99,29.66,-41.2042,-15.4332
"250",3122405,"Divisa Nova",20.99,17.48,-46.1145,-21.304
"251",3122454,"Divisópolis",48.6,33.81,-41,-15.4332
"252",3122470,"Dom Bosco",19.67,19.83,-46.1615,-16.3907
"253",3122504,"Dom Cavati",20.43,15.49,-42.0623,-19.2226
"254",3122603,"Dom Joaquim",33.05,20.7,-43.1521,-18.5802
"255",3122702,"Dom Silvério",13.76,11.81,-42.5804,-20.0936
"256",3122801,"Dom Viçoso",19.87,12.19,-45.094,-22.1516
"257",3122900,"Dona Euzébia",14.93,10.78,-42.4838,-21.1859
"258",3123007,"Dores de Campos",11.17,8.59,-44.0123,-21.0632
"259",3123106,"Dores de Guanhães",34.12,24.04,-42.5545,-19.033
"260",3123205,"Dores do Indaiá",16.8,13.14,-45.3606,-19.2748
"261",3123304,"Dores do Turvo",25.75,18.4,-43.1121,-20.5832
"262",3123403,"Doresópolis",13.36,7.66,-45.5412,-20.1713
"263",3123502,"Douradoquara",15.65,9.1,-47.3631,-18.2553
"264",3123528,"Durandé",28.5,23.17,-41.4752,-20.1212
"265",3123601,"Elói Mendes",18.25,14.05,-45.3355,-21.3636
"266",3123700,"Engenheiro Caldas",31.63,23.26,-42.0246,-19.131
"267",3123809,"Engenheiro Navarro",36.72,22.55,-43.57,-17.1647
"268",3123858,"Entre Folhas",21.27,17.85,-42.135,-19.3731
"269",3123908,"Entre Rios de Minas",14.9,9.88,-44.0356,-20.4015
"270",3124005,"Ervália",27.1,19.16,-42.3926,-20.5024
"271",3124104,"Esmeraldas",15.32,11.02,-44.185,-19.4545
"272",3124203,"Espera Feliz",24.12,17.43,-41.5426,-20.3901
"273",3124302,"Espinosa",40.58,30.81,-42.4909,-14.5534
"274",3124401,"Espírito Santo do Dourado",19.91,13.51,-45.5703,-22.0247
"275",3124500,"Estiva",19.79,11.37,-46.0102,-22.2746
"276",3124609,"Estrela D' Alva",22.23,20.12,-42.274,-21.4431
"277",3124708,"Estrela do Indaiá",18.89,15.99,-45.4715,-19.312
"278",3124807,"Estrela do Sul",18.28,13.94,-47.4134,-18.4444
"279",3124906,"Eugenópolis",20.96,14.69,-42.1112,-21.0555
"280",3125002,"Ewbank da Câmara",15.81,13.11,-43.3036,-21.3304
"281",3125101,"Extrema",13.11,7.8,-46.1906,-22.5117
"282",3125200,"Fama",14.39,12,-45.4943,-21.2423
"283",3125309,"Faria Lemos",21.88,17.72,-42.0147,-20.483
"284",3125408,"Felício dos Santos",31.71,22.28,-43.1449,-18.0438
"285",3125606,"Felisburgo",45.87,35.17,-40.4541,-16.3819
"286",3125705,"Felixlândia",19.76,12.91,-44.5356,-18.4529
"287",3125804,"Fernandes Tourinho",32.68,27.25,-42.0455,-19.0913
"288",3125903,"Ferros",31.64,26.06,-43.0124,-19.1355
"289",3125952,"Fervedouro",26.92,18.67,-42.1644,-20.4332
"290",3126000,"Florestal",11.33,8.28,-44.2557,-19.5322
"291",3126109,"Formiga",11.64,7.47,-45.2535,-20.2752
"292",3126208,"Formoso",37.39,26.3,-46.1355,-14.5648
"293",3126307,"Fortaleza de Minas",18.27,11.28,-46.4305,-20.5057
"294",3126406,"Fortuna de Minas",15.75,10.66,-44.2649,-19.334
"295",3126505,"Francisco Badaró",44.71,30.09,-42.2107,-16.5933
"296",3126604,"Francisco Dumont",31.42,23.96,-44.1403,-17.1854
"297",3126752,"Franciscópolis",47.4,39.42,-42.0031,-17.5735
"298",3126703,"Francisco Sá",36.43,26.75,-43.2918,-16.2833
"299",3126802,"Frei Gaspar",44.38,36.37,-41.2546,-18.0358
"300",3126901,"Frei Inocêncio",29.45,22.49,-41.5432,-18.3428
"301",3126950,"Frei Lagonegro",40.23,29.22,-42.4558,-18.1004
"302",3127008,"Fronteira",13.62,12.89,-49.1158,-20.1604
"303",3127057,"Fronteira dos Vales",54.95,38.85,-40.5529,-16.5329
"304",3127073,"Fruta de Leite",60.69,45.49,-42.3159,-16.0752
"305",3127107,"Frutal",11.32,7.88,-48.5626,-20.0129
"306",3127206,"Funilândia",19.86,16.06,-44.0322,-19.2203
"307",3127305,"Galiléia",29.11,23.54,-41.3215,-18.5958
"308",3127339,"Gameleiras",47.65,33.81,-43.0725,-15.0456
"309",3127354,"Glaucilândia",23.26,16.51,-43.415,-16.5059
"310",3127370,"Goiabeira",34.42,27.9,-41.1321,-18.5856
"311",3127388,"Goianá",15.11,12.72,-43.1206,-21.3214
"312",3127404,"Gonçalves",19.68,16.01,-45.5121,-22.3932
"313",3127503,"Gonzaga",34.45,25.92,-42.2845,-18.492
"314",3127602,"Gouveia",17.19,10.81,-43.4427,-18.2716
"315",3127701,"Governador Valadares",13.8,9.48,-41.5658,-18.5104
"316",3127800,"Grão Mogol",39.44,25.93,-42.5323,-16.3334
"317",3127909,"Grupiara",13.38,9.58,-47.432,-18.2939
"318",3128006,"Guanhães",21.79,15.36,-42.5557,-18.463
"319",3128105,"Guapé",15.25,10.53,-45.5503,-20.4542
"320",3128204,"Guaraciaba",29.58,22.27,-43.0027,-20.3415
"321",3128253,"Guaraciama",31.33,22.7,-43.4023,-17.005
"322",3128303,"Guaranésia",17.68,14.01,-46.4809,-21.1757
"323",3128402,"Guarani",17.6,14.23,-43.0249,-21.2108
"324",3128501,"Guarará",15.85,10.62,-43.0215,-21.4355
"325",3128600,"Guarda-Mor",17.1,13.23,-47.0554,-17.4615
"326",3128709,"Guaxupé",12.64,7.42,-46.4246,-21.1819
"327",3128808,"Guidoval",19.86,13.48,-42.4748,-21.0907
"328",3128907,"Guimarânia",12.63,11.17,-46.4735,-18.5038
"329",3129004,"Guiricema",21.14,15.47,-42.4304,-21.0028
"330",3129103,"Gurinhatã",17.07,17.3,-49.4711,-19.1248
"331",3129202,"Heliodora",23.92,15.89,-45.3232,-22.0402
"332",3129301,"Iapu",27.26,20.5,-42.1304,-19.2612
"333",3129400,"Ibertioga",23.23,17.4,-43.5747,-21.2548
"334",3129509,"Ibiá",12.43,7.83,-46.322,-19.2842
"335",3129608,"Ibiaí",31.58,23.56,-44.5452,-16.514
"336",3129657,"Ibiracatu",47.67,34.33,-44.095,-15.3949
"337",3129707,"Ibiraci",19.45,11.94,-47.072,-20.2744
"338",3129806,"Ibirité",12.52,7.6,-44.0332,-20.0119
"339",3129905,"Ibitiúra de Minas",17.43,13.82,-46.2624,-22.0339
"340",3130002,"Ibituruna",17.88,13.14,-44.4452,-21.0909
"341",3130051,"Icaraí de Minas",39.31,21.71,-44.5423,-16.1302
"342",3130101,"Igarapé",15.51,9.22,-44.1806,-20.0413
"343",3130200,"Igaratinga",14.02,9.09,-44.4233,-19.5719
"344",3130309,"Iguatama",11.86,6.9,-45.4241,-20.1028
"345",3130408,"Ijaci",15.97,8.66,-44.5531,-21.1012
"346",3130507,"Ilicínea",19.13,11.81,-45.4958,-20.5609
"347",3130556,"Imbé de Minas",29.53,22.09,-41.5814,-19.355
"348",3130606,"Inconfidentes",16.22,10.39,-46.194,-22.1901
"349",3130655,"Indaiabira",52.7,42.51,-42.115,-15.293
"350",3130705,"Indianópolis",16.25,13.86,-47.5501,-19.0219
"351",3130804,"Ingaí",14.91,9.77,-44.5502,-21.2404
"352",3130903,"Inhapim",26.94,18.76,-42.0712,-19.3257
"353",3131000,"Inhaúma",15.54,10.81,-44.2323,-19.2928
"354",3131109,"Inimutaba",21.38,15.66,-44.2138,-18.4345
"355",3131158,"Ipaba",24.68,15.31,-42.251,-19.2449
"356",3131208,"Ipanema",24.22,17.32,-41.4247,-19.4803
"357",3131307,"Ipatinga",9.65,6.29,-42.3212,-19.2806
"358",3131406,"Ipiaçu",22.41,19.52,-49.5634,-18.4132
"359",3131505,"Ipuiúna",17.31,14.58,-46.1123,-22.0556
"360",3131604,"Iraí de Minas",15.37,10.54,-47.2741,-18.5902
"361",3131703,"Itabira",12.58,7.82,-43.1337,-19.3709
"362",3131802,"Itabirinha",34.11,25.41,-41.1359,-18.3359
"363",3131901,"Itabirito",7.61,4.92,-43.4805,-20.1512
"364",3132008,"Itacambira",31.42,21.69,-43.1832,-17.0353
"365",3132107,"Itacarambi",35.23,24.04,-44.0531,-15.0608
"366",3132206,"Itaguara",14.34,9.86,-44.2915,-20.2332
"367",3132305,"Itaipé",48.69,33.72,-41.4007,-17.2407
"368",3132404,"Itajubá",7.28,4.84,-45.271,-22.2532
"369",3132503,"Itamarandiba",38.02,25.44,-42.5132,-17.5126
"370",3132602,"Itamarati de Minas",15.76,9.21,-42.4904,-21.2457
